,domain,problem,time,plan_length,plan_found
0,blocksworld,0_01,0.0,10.0,True
1,blocksworld,0_02,0.0,8.0,True
2,blocksworld,0_03,0.0,20.0,True
3,blocksworld,0_04,0.0,24.0,True
4,blocksworld,0_05,0.0,24.0,True
5,blocksworld,0_06,0.0,26.0,True
6,blocksworld,0_07,0.0,32.0,True
7,blocksworld,0_08,0.0,32.0,True
8,blocksworld,0_09,0.0,36.0,True
9,blocksworld,0_10,0.0,38.0,True
10,blocksworld,0_11,0.0,48.0,True
11,blocksworld,0_12,0.0,40.0,True
12,blocksworld,0_13,0.0,42.0,True
13,blocksworld,0_14,0.0,44.0,True
14,blocksworld,0_15,0.0,46.0,True
15,blocksworld,0_16,0.0,54.0,True
16,blocksworld,0_17,0.0,60.0,True
17,blocksworld,0_18,0.0,50.0,True
18,blocksworld,0_19,0.0,54.0,True
19,blocksworld,0_20,0.0,56.0,True
20,blocksworld,0_21,0.0,56.0,True
21,blocksworld,0_22,0.0,72.0,True
22,blocksworld,0_23,0.0,58.0,True
23,blocksworld,0_24,0.0,72.0,True
24,blocksworld,0_25,0.0,82.0,True
25,blocksworld,0_26,0.0,74.0,True
26,blocksworld,0_27,0.0,66.0,True
27,blocksworld,0_28,0.0,82.0,True
28,blocksworld,0_29,0.0,76.0,True
29,blocksworld,0_30,0.0,88.0,True
30,blocksworld,1_01,0.0,106.0,True
31,blocksworld,1_02,0.0,104.0,True
32,blocksworld,1_03,0.0,112.0,True
33,blocksworld,1_04,0.0,144.0,True
34,blocksworld,1_05,0.0,142.0,True
35,blocksworld,1_06,0.0,140.0,True
36,blocksworld,1_07,0.0,158.0,True
37,blocksworld,1_08,0.0,164.0,True
38,blocksworld,1_09,0.0,180.0,True
39,blocksworld,1_10,0.0,186.0,True
40,blocksworld,1_11,0.0,202.0,True
41,blocksworld,1_12,0.0,234.0,True
42,blocksworld,1_13,0.0,240.0,True
43,blocksworld,1_14,0.0,228.0,True
44,blocksworld,1_15,0.0,232.0,True
45,blocksworld,1_16,0.0,246.0,True
46,blocksworld,1_17,0.0,272.0,True
47,blocksworld,1_18,0.0,284.0,True
48,blocksworld,1_19,0.0,286.0,True
49,blocksworld,1_20,0.0,308.0,True
50,blocksworld,1_21,0.0,310.0,True
51,blocksworld,1_22,0.0,314.0,True
